B,COM_RAT,Cyclic,D,Dcy*,DIT,DPT*,E,Inner,LCOM,Level,LOC,N,NCLOC,NOAC,NOC,NOIC,OCmax,PDcy,PDpt,STAT,SUB,TCOM_RAT,V,WMC,CBO,CLOC,Command,CONS,CSA,CSO,CSOA,Dcy,DPT,INNER,jf,JLOC,Jm,Level*,MPC,n,NAAC,NAIC,NOOC,NTP,OCavg,OPavg,OSavg,OSmax,Query,RFC,TODO
-0.1641715,-0.22723515,-0.3886783,0.05509281,-0.37998158,0.005095165,0.16359098,0.0,0.0,-0.0041488465,-0.18395902,0.619774,0.1728035,0.027749822,-0.045206573,-0.0019487487,0.013443458,0.07983421,0.03239761,-0.14763528,0.037649125,-0.0027554242,-0.450108,0.0044137305,0.07635928,-0.20478053,0.04778577,0.0065367166,0.014488391,-0.06772919,0.13354953,0.09966287,-0.13607995,0.17958668,-0.09627296,0.030637572,0.028472926,-0.0017173205,-3.1962943,0.102357656,-0.07511912,0.08936301,-0.011734365,0.026589194,-0.025689712,0.65256536,-0.04186125,-0.24565771,-0.2540726,0.2278803,0.346449,0.0031885114
0.1511405,-0.21794334,0.09492179,-0.47851288,0.001700025,0.013474992,-0.212275,0.0,0.0,-0.007341924,0.026676502,-0.31889653,-0.054948322,0.07240884,-0.16343285,0.0022122634,-0.030182011,-0.15894234,-0.014777397,-0.021383775,0.58234304,-0.02603833,-0.5255069,-0.12062986,0.7934282,0.3949001,0.14002262,-0.15644522,0.36974856,0.06420416,0.018766081,-0.094462864,-0.05326442,-0.0076653454,-0.06996853,-0.011957517,-0.013588065,0.2188261,0.72783995,-0.16607152,0.23622847,-0.016788185,-0.0035833472,-0.038254373,-0.043900587,-0.45524502,-0.041510157,0.08306344,-0.08895855,0.18307237,-0.19740345,0.019469844
-0.05888544,0.19898939,0.08271171,-0.08192444,-0.47729185,0.0036351944,-0.13195369,0.0,0.0,0.042194694,0.32505557,-0.24097863,-0.090736665,-0.158437,0.18595608,0.0075571006,0.11258845,-0.07159018,-0.008783767,0.07494071,0.06436937,-0.0018835765,0.6524837,-0.0447798,-0.13675815,-0.06788935,-0.027188327,0.015112526,0.15027449,0.17365676,-0.03154374,0.09856928,0.094304286,-0.61000395,-0.19612853,-0.0070914417,-0.022260588,-0.0034383312,0.18144265,-0.076281354,-0.072750345,-0.12121716,0.060009968,-0.016893014,-0.057657197,-0.34436065,0.08016907,0.29928264,-0.04997022,-0.0064316764,-0.17451146,0.002799155
-0.05267769,-0.060478546,-0.119989485,-0.11517607,-0.48574585,0.0022009285,-0.30297711,0.0,0.0,0.017240884,-0.18064196,-0.31642288,-0.07288261,0.09003605,0.1349269,-0.0009040977,-0.11376121,0.2154159,-0.13186255,-0.015994947,0.003368266,-0.0001147876,-0.014417247,-0.085305564,-0.02511226,-0.13745949,-0.067964256,0.015701417,0.3928488,0.13911168,0.006455466,-0.047923606,0.03647339,0.013479967,-0.25536004,-0.008453246,-0.0022111398,-0.00429697,-0.5552669,0.078783534,0.40839976,-0.24970151,0.0012188342,0.012404389,-0.04325563,-0.91312474,0.071328446,0.19501723,-0.09594916,0.26612762,-0.21957839,0.006664132
-0.013795846,-0.12887473,-0.17930132,-0.19962788,0.026438177,0.022406392,-0.47650287,0.0,0.0,-0.0539331,0.07153718,-0.38848835,0.0037173156,0.04573201,-0.21344557,-0.021070328,-0.19016086,0.08911204,0.16493721,-0.09677789,0.08262037,0.006584378,-0.020838337,-0.16709939,0.38231316,0.07411903,0.15994439,-0.2941739,0.038837545,-0.007530964,-0.03791641,-0.04173848,-0.08169619,0.05734501,-0.34647188,-0.010082114,-0.0017758855,-0.003933524,0.42552048,-0.064616606,0.13358104,-0.46583256,0.14490819,-0.12660855,-0.041199546,-0.75077796,-0.074411094,-0.083152965,0.45985755,0.074428625,-0.0070440946,0.005557102
-0.05872385,-0.17483315,-0.44727552,0.35060662,0.5047329,0.009212952,0.13720673,0.0,0.0,-0.15891324,-0.18442668,0.07711635,0.0709862,0.009914401,-0.053117722,-0.0019487487,0.008786001,0.118533015,-0.0002660416,-0.09334757,0.07505968,-0.002584826,-0.83547056,0.04471896,0.12987986,-0.08072511,-0.06652011,0.019273184,0.024147462,-0.11932799,0.027097302,0.097284175,-0.09222928,-0.5000689,-0.10028411,0.05595465,-0.012096076,-0.0017173205,-3.689249,-0.20902862,-0.10073952,0.09927262,-0.03066191,-0.047567304,-0.032484718,0.7518346,-0.28495345,-0.29549536,-0.13339153,0.0040044785,0.12045731,0.0031885114
0.29550084,0.09923034,0.07489515,0.50042576,0.15794487,0.0057772095,-0.27977976,0.0,0.0,-0.3288187,-0.36603358,0.5434397,0.27006638,-0.087720476,0.0096009355,0.0021547682,-0.041518267,-0.17717609,0.05612549,0.0017233442,-0.12196546,-5.1499577e-05,0.00095169805,0.10635286,-0.03469738,-0.2091086,0.0779582,0.01108815,0.20303792,-0.12372684,-0.1428556,0.1648338,0.06984473,0.19866163,-0.23320499,-0.022412544,-0.0037727102,-0.0034383312,0.9924619,0.10079864,-0.04381392,0.25870186,0.013109097,0.0057973666,-0.041022673,-0.091208726,-0.033145137,0.016047016,0.17293097,-0.09618965,-0.29491356,0.0032758678
0.37537745,-0.03655197,0.13931099,0.07820167,-0.08739305,0.017468058,-0.28857678,0.0,0.0,0.046540856,0.15125151,0.38210398,0.06934918,-0.03887316,-0.05492786,-0.0042054476,-0.2801385,0.274797,-0.07280567,0.07700129,0.02708539,-0.0016819129,0.34590107,0.061480246,0.062184498,0.19329128,0.0042586317,-0.117817014,0.216021,0.19808276,0.10096423,-0.20021267,-0.10227388,-0.08392451,0.026737846,-0.026187485,-0.0023504496,-0.00429697,0.9521971,-0.03671867,-0.2080093,0.23051769,0.19654109,-0.066107966,-0.020334205,1.3050655,-0.16039774,-0.310719,-0.18204968,0.004087692,-0.13967149,0.005557102
0.055343334,-0.10014635,-0.14741507,0.053152435,-0.4432109,0.0019035073,-0.015451569,0.0,0.0,-0.006169309,-0.16954048,-0.36801264,-0.18240243,0.0820054,-0.034321524,-0.004901167,0.013101884,0.14142442,-0.21463521,0.0008781096,0.023157746,-0.0012756381,-0.5871813,0.09256116,-0.009849186,0.01445338,0.13996358,-0.029763522,0.083507955,0.026711132,-0.014697417,-0.03288507,0.06236754,-0.09245183,-0.13316527,-0.00542517,0.021335684,0.08529364,-2.35459,-0.48811564,0.30100095,0.16132689,0.013333092,0.10420224,-0.049111933,0.08058352,-0.14867975,0.083702266,-0.15475924,-0.07272379,-0.023874445,0.0031885114
0.16955476,-0.064195506,-0.2831861,0.40933958,-0.672698,0.005095165,0.033254743,0.0,0.0,-0.14944783,-0.17956038,0.04391989,-0.041118685,-0.0038262897,0.010327742,-0.0019487487,0.01795055,0.05051464,0.024930947,-0.11663472,0.15977749,-0.00071149867,-0.18067656,0.045532785,0.15455116,0.062421367,-0.0042102737,-0.005223981,0.023346305,-0.15593863,-0.017975278,0.12120061,0.19595787,0.041257102,-0.12295105,0.005936647,0.02279233,-0.0034383312,-3.56101,-0.34294605,-0.2522298,0.06466521,-0.025572343,0.039524205,-0.031504616,0.5762126,0.22140287,-0.26813495,-0.20174322,0.02944865,-0.13326281,0.0031885114
